1341818195833970688 2020-12-24 02:49:22 +0800 <GrootKo> Asielpyromanen steken hun kamp in Bihac, Bosnië, in de fik om toegang tot Europa af te dwingen  https://t.co/abfNzzFG04 via @DissidentNL
1341817887581978625 2020-12-24 02:48:08 +0800 <GrootKo> Uitwerking van 10 jaar Rutte: Niet-acute zorg ziekenhuizen gestaakt voor coronazorg  https://t.co/3MceXV4pFg via @JDreport
1341817634736775168 2020-12-24 02:47:08 +0800 <GrootKo> Leidster van de IS-vrouwenbrigade terug in Zweden – kreeg onmiddellijk een beschermde identiteit en uitkering  https://t.co/CWlbENFDPN via @Frontnieuws
1341817445493960705 2020-12-24 02:46:23 +0800 <GrootKo> Ongelooflijk! VVD blijft na walgelijke toeslagenaffaire veruit de grootste partij in de peilingen  https://t.co/24TClvoyna
1341817260160249856 2020-12-24 02:45:39 +0800 <GrootKo> 'Hier wordt genadeloos aangetoond wat voor leugenaar Rutte is'  https://t.co/XS7vBy8lMM
1341778049826770951 2020-12-24 00:09:50 +0800 <GrootKo> Nieuw geneesmiddel neutraliseert Covid-virussen en immuniseert  https://t.co/1Zv2vEsrmt via @EJBron2
1341777721718943744 2020-12-24 00:08:32 +0800 <GrootKo> Kom maar terug van vakantie, prutser Hugo! Geert Wilders krijgt genoeg steun om kabinet naar Kamer te halen  https://t.co/4WISKOIS4r
1341741056887582720 2020-12-23 21:42:50 +0800 <GrootKo> Geweldig! Donald Trump gaat LOS op hypocriete politici die burgers afknijpen: ‘Extreem-linkse agenda!’  https://t.co/BnxpZqwVte
1341740876184379395 2020-12-23 21:42:07 +0800 <GrootKo> Ziekenhuizen zijn klaar met paniekzaaierij: ‘Wij hebben géén stop reguliere zorg, de situatie verandert amper!’  https://t.co/LZizOI8yLs
1341737995850887177 2020-12-23 21:30:41 +0800 <GrootKo> AD toont aan: Zo ontzettend nep is Hugo de Jonge  https://t.co/HG7osDbDsF via @TPOnl
1341737357339480065 2020-12-23 21:28:08 +0800 <GrootKo> 26 onafgebouwde energieneutrale huizen moeten gesloopt: ‘zeer ernstige constructieve fouten gevonden’.  https://t.co/WzS9dphwHA
1341724556575318016 2020-12-23 20:37:16 +0800 <GrootKo> Het CDA denkt/hoopt dat u achterlijk bent  https://t.co/OMO58xhwTb
1341679017716551680 2020-12-23 17:36:19 +0800 <GrootKo> @geertwilderspvv Top Geert👍 Uiteraard heb je mijn stem.
1341678186820734976 2020-12-23 17:33:01 +0800 <GrootKo> Polen beschermt vrijheid van meningsuiting – Boetes voor Techreuzen die berichten censureren  https://t.co/vpbOi8EWXr via @DissidentNL
1341677547227115520 2020-12-23 17:30:29 +0800 <GrootKo> Aan de Toeslagaffaire-ouders  https://t.co/vb8H1GZTNU via @EJBron2
